Name,Subject,Level,Candidates,Mean Grade,1%,2%,3%,4%,5%,6%,7%,Session,Year
DANISH AB. SL,DANISH AB.,SL,51,5.64,0,0,4.3,17,17,34,27.7,May,2020
DANISH B HL,DANISH B,HL,223,5.72,0,0.5,5.9,10.4,18,35.6,29.7,May,2020
DANISH B SL,DANISH B,SL,21,5.15,0,0,0,30,35,25,10,May,2020
DUTCH B HL,DUTCH B,HL,155,6.07,0,0,0,3.9,14.8,51.6,29.7,May,2020
DUTCH B SL,DUTCH B,SL,192,5.48,0,0,1.6,13.5,38.5,28.1,18.2,May,2020
ENGLISH AB. SL,ENGLISH AB.,SL,1890,4.84,0.2,2.3,12.6,24.4,27.9,24,8.6,May,2020
ENGLISH B HL,ENGLISH B,HL,17255,6.02,0,0,0.4,4.5,19.4,43.9,31.9,May,2020
ENGLISH B SL,ENGLISH B,SL,2767,5.82,0,0.1,1.5,6.7,22.6,45.8,23.3,May,2020
FINNISH B HL,FINNISH B,HL,34,5.91,0,0,0,2.9,26.5,47.1,23.5,May,2020
FINNISH B SL,FINNISH B,SL,54,6.06,0,0,1.9,5.6,18.5,33.3,40.7,May,2020
FRENCH AB. SL,FRENCH AB.,SL,4002,4.97,0.1,2.9,10.1,23.4,25.9,24.7,12.8,May,2020
FRENCH B HL,FRENCH B,HL,3709,5.27,0.1,1.7,9.3,16.3,23.8,29.3,19.4,May,2020
FRENCH B SL,FRENCH B,SL,12402,5.07,0,1.4,8.7,21.9,27.8,29.5,10.7,May,2020
GERMAN AB. SL,GERMAN AB.,SL,1364,5.09,0,1.2,9.7,20.6,27.3,30.4,10.9,May,2020
GERMAN B HL,GERMAN B,HL,1649,5.81,0,0,2,9.5,22.7,37.3,28.5,May,2020
GERMAN B SL,GERMAN B,SL,2003,5.16,0,0.6,8.2,20.8,29.7,26.6,14.2,May,2020
HEBREW B SL,HEBREW B,SL,49,6.12,0,0,0,4.1,16.3,42.9,36.7,May,2020
HINDI B HL,HINDI B,HL,507,5.73,0,0,0.2,6.7,27,52.3,13.8,May,2020
HINDI B SL,HINDI B,SL,1028,5.85,0,0,0.3,3.5,22.8,58.1,15.3,May,2020
INDONESIAN B HL,INDONESIAN B,HL,185,6.14,0,0,1.1,1.6,10.3,56.2,30.8,May,2020
INDONESIAN B SL,INDONESIAN B,SL,217,6.04,0,0,0.5,3.2,18,48.8,29.5,May,2020
ITALIAN AB. SL,ITALIAN AB.,SL,538,5.03,0,1.3,10.1,23.7,28.4,22.2,14.2,May,2020
ITALIAN B HL,ITALIAN B,HL,253,6,0,0.4,7.2,5.2,12.9,27.7,46.6,May,2020
ITALIAN B SL,ITALIAN B,SL,415,4.87,0,1.5,19.6,24.7,17.7,17.7,18.9,May,2020
JAPANESE AB. SL,JAPANESE AB.,SL,440,5.23,0,3.3,11,14,23.8,26.4,21.4,May,2020
JAPANESE B HL,JAPANESE B,HL,121,6.17,0,0,2.5,9.2,7.5,30.8,50,May,2020
JAPANESE B SL,JAPANESE B,SL,348,5.17,0,0,8.1,23.4,27.5,25.7,15.3,May,2020
KOREAN B HL,KOREAN B,HL,38,6.46,0,0,0,0,8.1,37.8,54.1,May,2020
KOREAN B SL,KOREAN B,SL,61,6.26,0,1.6,0,8.2,6.6,27.9,55.7,May,2020
LATIN HL,LATIN,HL,270,4.99,0.8,5.3,13.9,19.9,17.3,19.9,22.9,May,2020
LATIN SL,LATIN,SL,901,4.44,0.3,4.2,25.4,27.6,16.4,15.5,10.5,May,2020
MALAY AB. SL,MALAY AB.,SL,46,6.35,0,0,0,0,8.7,47.8,43.5,May,2020
MANDARIN AB. SL,MANDARIN AB.,SL,1456,5.56,0,1.3,6.2,13.8,20.5,29.7,28.5,May,2020
NORWEGIAN B HL,NORWEGIAN B,HL,117,5.95,0,0,4.7,5.6,19.6,29.9,40.2,May,2020
NORWEGIAN B SL,NORWEGIAN B,SL,107,5.25,0,0,9.7,22.3,23.3,22.3,22.3,May,2020
PORTUGUESE B HL,PORTUGUESE B,HL,65,6.65,0,0,0,1.5,4.6,21.5,72.3,May,2020
PORTUGUESE B SL,PORTUGUESE B,SL,120,6,0,0,0,3.4,24.6,40.7,31.4,May,2020
RUSSIAN AB. SL,RUSSIAN AB.,SL,93,5.59,0,1.1,8.8,13.2,18.7,23.1,35.2,May,2020
RUSSIAN B HL,RUSSIAN B,HL,94,6.7,0,0,0,0,6.4,17,76.6,May,2020
RUSSIAN B SL,RUSSIAN B,SL,107,6.28,0,0,0.9,1.9,9.3,43.9,43.9,May,2020
SPANISH AB. SL,SPANISH AB.,SL,7802,5.08,0.1,2,8.3,22.9,26.5,26.1,14.1,May,2020
SPANISH B HL,SPANISH B,HL,8332,5.69,0,0.7,4.5,12.4,19.8,32.2,30.3,May,2020
SWAHILI AB. SL,SWAHILI AB.,SL,65,5.83,0,0,0,9.2,21.5,46.2,23.1,May,2020
SWAHILI B HL,SWAHILI B,HL,44,6.11,0,0,0,0,13.6,61.4,25,May,2020
SWAHILI B SL,SWAHILI B,SL,63,5.73,0,0,0,1.6,39.7,42.9,15.9,May,2020
SWEDISH AB. SL,SWEDISH AB.,SL,102,5.53,0,0,6.9,13.9,23.8,29.7,25.7,May,2020
SWEDISH B HL,SWEDISH B,HL,146,5.97,0,0,2.2,10.1,14.5,34.8,38.4,May,2020
ART HISTORY SL,ART HISTORY,SL,172,5.18,0,2.4,11.5,14.5,26.7,27.3,17.6,May,2020
BRAZ.SOC.STUD SL,BRAZ.SOC.STUD,SL,181,5.53,0,2.2,4.4,15.6,22.2,27.2,28.3,May,2020
BUS MAN HL,BUS MAN,HL,16203,5.31,0,0.9,5.5,22.2,23.7,27.7,19.9,May,2020
BUS MAN SL,BUS MAN,SL,7993,5.25,0.2,2.3,6.7,15.4,31.2,26.1,18,May,2020
CL.GK.ROM.ST. SL,CL.GK.ROM.ST.,SL,33,6.42,0,0,0,0,6.1,45.5,48.5,May,2020
ECONOMICS HL,ECONOMICS,HL,16953,5.34,0.2,0.9,5.7,13.7,32.4,32,15.2,May,2020
ECONOMICS SL,ECONOMICS,SL,8878,4.98,0.2,2.3,11.7,19.4,28.8,26.9,10.8,May,2020
GEOGRAPHY HL,GEOGRAPHY,HL,5321,5.41,0,0.3,4.5,12.7,37,27.7,17.8,May,2020
GEOGRAPHY SL,GEOGRAPHY,SL,3924,4.98,0.2,1.6,12,19.9,31.8,21.8,12.8,May,2020
GLOB. POL HL,GLOB. POL,HL,2974,5.31,0,0.3,3.9,18.3,33.1,31.1,13.3,May,2020
GLOB. POL SL,GLOB. POL,SL,1950,4.79,0,2.7,11.2,25.3,34.7,17.9,8.3,May,2020
HISTORY HL,HISTORY,HL,42462,4.53,0.1,3.2,11.5,37.2,28.7,15.2,4.1,May,2020
HISTORY SL,HISTORY,SL,7671,4.7,0,2.4,9.3,32.8,31.8,18.8,4.9,May,2020
ITGS HL,ITGS,HL,1453,4.49,0.5,3.9,13.8,32.9,29.9,15.3,3.8,May,2020
ITGS SL,ITGS,SL,1291,4.49,0.3,4.9,16.4,31.2,25.2,15.6,6.5,May,2020
MOD HIST KAZ SL,MOD HIST KAZ,SL,10,5.9,0,0,0,0,10,90,0,May,2020
PHILOSOPHY HL,PHILOSOPHY,HL,1739,5.35,0,0.3,4.1,19.9,30.2,26.6,18.8,May,2020
PHILOSOPHY SL,PHILOSOPHY,SL,2279,5.15,0,1,7.6,21.9,28.8,26.6,14.1,May,2020
POLITICAL TH. SL,POLITICAL TH.,SL,30,5.83,0,0,0,16.7,16.7,33.3,33.3,May,2020
PSYCHOLOGY HL,PSYCHOLOGY,HL,11836,5.19,0,1.6,6.8,20.9,26.1,30.6,14,May,2020
PSYCHOLOGY SL,PSYCHOLOGY,SL,10903,4.78,0.3,4.4,11.1,26.2,26,23.5,8.5,May,2020
